"Hostname","IPAddress","Status","Remark","Application_Name","Version","Publisher","SerialNumber","InstallDate","RegistryPath","Last_Scan_Time"
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Python Launcher","3.13.9150.0","Python Software Foundation","AF96FA1B-8F24-4D71-97C1-217906F87665","10/29/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{AF96FA1B-8F24-4D71-97C1-217906F87665}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft Visual Studio Tools for Applications 2019 x86 Hosting Support","16.0.35907","Microsoft Corporation","B3F8F2A5-3088-3F4B-A308-94F9F7BA44EF","6/16/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{B3F8F2A5-3088-3F4B-A308-94F9F7BA44EF}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft Visual Studio Tools for Applications 2019","16.0.35907","Microsoft Corporation","ba2546f3-96cd-463e-89eb-2abb4ebfa66d","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{ba2546f3-96cd-463e-89eb-2abb4ebfa66d}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","C2BB95AA-90F3-4891-81C1-A7E565BB836C","9/16/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{C2BB95AA-90F3-4891-81C1-A7E565BB836C}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Integration Services","16.0.5491.7","Microsoft Corporation","C33A075E-FA96-4D75-AC9A-BF4CB73A28C2","7/14/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{C33A075E-FA96-4D75-AC9A-BF4CB73A28C2}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","MobaXterm","23.6.0.5186","Mobatek","C9D456CC-BC1A-4671-8891-A6593420ABD1","1/31/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{C9D456CC-BC1A-4671-8891-A6593420ABD1}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433","14.42.34433.0","Microsoft Corporation","e7802eac-3305-4da0-9378-e55d1ed05518","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{e7802eac-3305-4da0-9378-e55d1ed05518}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","SSMS Post Install Tasks","20.2.37.0","Microsoft Corporation","ECE3C19E-10A4-4958-B6DF-2FD15ADF4D3F","7/14/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{ECE3C19E-10A4-4958-B6DF-2FD15ADF4D3F}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","F0C3E5D1-1ADE-321E-8167-68EF0DE699A5","7/9/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Browser for SQL Server 2022","16.0.1000.6","Microsoft Corporation","FDB357D5-CC78-480A-8D26-C15D1A877642","7/14/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{FDB357D5-CC78-480A-8D26-C15D1A877642}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","SQL Server Management Studio","20.2.37.0","Microsoft Corp.","FE8C7838-D3E6-4CEA-87BE-216E42391827","7/14/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{FE8C7838-D3E6-4CEA-87BE-216E42391827}",
