"Hostname","Status","Remark","Application_Name","Version","Publisher","SerialNumber","InstallDate","RegistryPath","Last_Scan_Time"
"L-PG03VRZB","OK","Successful","SQL Server 2022 Connection Info","16.0.1000.6","Microsoft Corporation","EAC54B82-7A37-4A9E-8953-474316BD40F6","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{EAC54B82-7A37-4A9E-8953-474316BD40F6}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Development Libraries (64-bit)","3.12.2150.0","Python Software Foundation","F131E2DD-B8C5-42F3-85B7-3D4BAC9582CD","2/22/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{F131E2DD-B8C5-42F3-85B7-3D4BAC9582CD}",
"L-PG03VRZB","OK","Successful","360 Total Security","11.0.0.1204","360 Security Center","","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\360TotalSecurity",
"L-PG03VRZB","OK","Successful","Angry IP Scanner","3.9.1","Angry IP Scanner","","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Angry IP Scanner",
"L-PG03VRZB","OK","Successful","AnyDesk","ad 9.0.7","AnyDesk Software GmbH","","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AnyDesk",
"L-PG03VRZB","OK","Successful","Google Chrome","138.0.7204.49","Google LLC","","6/26/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Google Chrome",
"L-PG03VRZB","OK","Successful","Microsoft Edge","138.0.3351.65","Microsoft Corporation","56EB18F8-B008-4CBD-B6D2-8C97FE7E9062","7/4/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Edge",
"L-PG03VRZB","OK","Successful","Microsoft Edge WebView2 Runtime","137.0.3296.93","Microsoft Corporation","F3017226-FE2A-4295-8BDF-00C3A9A7E4C5","6/23/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft EdgeWebView",
"L-PG03VRZB","OK","Successful","Microsoft Help Viewer 2.3","2.3.28307","Microsoft Corporation","99DC6816-30B2-32EB-9E12-AF8944C4FA4E","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Help Viewer 2.3",
"L-PG03VRZB","OK","Successful","Mozilla Firefox (x86 en-US)","140.0.2","Mozilla","","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Mozilla Firefox 140.0.2 (x86 en-US)",
"L-PG03VRZB","OK","Successful","Npcap","1.78","Nmap Project","","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\NpcapInst",
